Algorithm,Training_Time
q_learning_0,5.653331518173218
q_learning_1,5.652777194976807
q_learning_2,5.630413770675659
q_learning_3,5.750622272491455
q_learning_4,5.716453790664673
dqn_0,142.92244386672974
dqn_1,138.04852080345154
dqn_2,138.50704097747803
dqn_3,144.89973521232605
dqn_4,142.84285759925842
