Episode,Reward
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-200.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-193.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-200.0
140,-196.0
141,-200.0
142,-200.0
143,-191.0
144,-200.0
145,-200.0
146,-200.0
147,-200.0
148,-200.0
149,-200.0
150,-200.0
151,-200.0
152,-200.0
153,-185.0
154,-198.0
155,-200.0
156,-200.0
157,-200.0
158,-200.0
159,-200.0
160,-186.0
161,-200.0
162,-162.0
163,-200.0
164,-200.0
165,-190.0
166,-200.0
167,-200.0
168,-200.0
169,-200.0
170,-161.0
171,-178.0
172,-200.0
173,-156.0
174,-200.0
175,-200.0
176,-200.0
177,-189.0
178,-168.0
179,-134.0
180,-200.0
181,-200.0
182,-187.0
183,-186.0
184,-161.0
185,-191.0
186,-191.0
187,-200.0
188,-159.0
189,-162.0
190,-177.0
191,-200.0
192,-200.0
193,-196.0
194,-176.0
195,-149.0
196,-151.0
197,-157.0
198,-159.0
199,-158.0
200,-198.0
201,-200.0
202,-200.0
203,-178.0
204,-154.0
205,-178.0
206,-155.0
207,-156.0
208,-148.0
209,-160.0
210,-155.0
211,-170.0
212,-189.0
213,-186.0
214,-199.0
215,-149.0
216,-176.0
217,-200.0
218,-166.0
219,-119.0
220,-184.0
221,-151.0
222,-196.0
223,-147.0
224,-178.0
225,-180.0
226,-200.0
227,-156.0
228,-161.0
229,-200.0
230,-148.0
231,-150.0
232,-184.0
233,-152.0
234,-118.0
235,-183.0
236,-149.0
237,-133.0
238,-146.0
239,-192.0
240,-160.0
241,-152.0
242,-150.0
243,-193.0
244,-167.0
245,-145.0
246,-133.0
247,-200.0
248,-146.0
249,-190.0
250,-148.0
251,-174.0
252,-153.0
253,-152.0
254,-154.0
255,-153.0
256,-200.0
257,-152.0
258,-150.0
259,-149.0
260,-155.0
261,-182.0
262,-148.0
263,-154.0
264,-146.0
265,-151.0
266,-197.0
267,-200.0
268,-157.0
269,-149.0
270,-200.0
271,-200.0
272,-190.0
273,-153.0
274,-126.0
275,-154.0
276,-160.0
277,-179.0
278,-153.0
279,-150.0
280,-147.0
281,-185.0
282,-128.0
283,-117.0
284,-152.0
285,-195.0
286,-192.0
287,-117.0
288,-189.0
289,-155.0
290,-150.0
291,-153.0
292,-147.0
293,-175.0
294,-149.0
295,-153.0
296,-154.0
297,-154.0
298,-145.0
299,-150.0
300,-149.0
301,-191.0
302,-150.0
303,-149.0
304,-151.0
305,-148.0
306,-157.0
307,-147.0
308,-147.0
309,-158.0
310,-200.0
311,-180.0
312,-146.0
313,-145.0
314,-145.0
315,-148.0
316,-149.0
317,-143.0
318,-153.0
319,-143.0
320,-143.0
321,-151.0
322,-126.0
323,-149.0
324,-154.0
325,-146.0
326,-148.0
327,-153.0
328,-151.0
329,-152.0
330,-149.0
331,-151.0
332,-200.0
333,-148.0
334,-147.0
335,-144.0
336,-146.0
337,-157.0
338,-145.0
339,-147.0
340,-143.0
341,-153.0
342,-147.0
343,-143.0
344,-151.0
345,-151.0
346,-149.0
347,-146.0
348,-141.0
349,-145.0
350,-145.0
351,-145.0
352,-151.0
353,-147.0
354,-124.0
355,-155.0
356,-135.0
357,-150.0
358,-152.0
359,-145.0
360,-145.0
361,-165.0
362,-142.0
363,-145.0
364,-150.0
365,-154.0
366,-184.0
367,-152.0
368,-147.0
369,-138.0
370,-114.0
371,-154.0
372,-146.0
373,-154.0
374,-155.0
375,-154.0
376,-152.0
377,-152.0
378,-155.0
379,-150.0
380,-158.0
