Episode,Reward
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-186.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-200.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-200.0
140,-200.0
141,-200.0
142,-191.0
143,-200.0
144,-200.0
145,-200.0
146,-165.0
147,-200.0
148,-200.0
149,-168.0
150,-200.0
151,-200.0
152,-200.0
153,-200.0
154,-200.0
155,-200.0
156,-200.0
157,-200.0
158,-174.0
159,-200.0
160,-200.0
161,-200.0
162,-200.0
163,-197.0
164,-168.0
165,-200.0
166,-170.0
167,-165.0
168,-178.0
169,-200.0
170,-200.0
171,-200.0
172,-171.0
173,-200.0
174,-200.0
175,-200.0
176,-200.0
177,-151.0
178,-200.0
179,-183.0
180,-200.0
181,-200.0
182,-200.0
183,-200.0
184,-200.0
185,-158.0
186,-200.0
187,-164.0
188,-200.0
189,-200.0
190,-171.0
191,-200.0
192,-138.0
193,-158.0
194,-153.0
195,-200.0
196,-166.0
197,-156.0
198,-199.0
199,-186.0
200,-200.0
201,-200.0
202,-151.0
203,-190.0
204,-157.0
205,-164.0
206,-171.0
207,-200.0
208,-159.0
209,-200.0
210,-200.0
211,-155.0
212,-200.0
213,-181.0
214,-200.0
215,-184.0
216,-200.0
217,-193.0
218,-161.0
219,-200.0
220,-163.0
221,-154.0
222,-188.0
223,-151.0
224,-157.0
225,-200.0
226,-200.0
227,-200.0
228,-200.0
229,-155.0
230,-150.0
231,-192.0
232,-200.0
233,-150.0
234,-200.0
235,-200.0
236,-156.0
237,-166.0
238,-157.0
239,-152.0
240,-165.0
241,-200.0
242,-181.0
243,-187.0
244,-194.0
245,-152.0
246,-148.0
247,-190.0
248,-155.0
249,-150.0
250,-166.0
251,-188.0
252,-199.0
253,-148.0
254,-193.0
255,-158.0
256,-176.0
257,-147.0
258,-200.0
259,-154.0
260,-172.0
261,-160.0
262,-179.0
263,-179.0
264,-153.0
265,-177.0
266,-164.0
267,-180.0
268,-160.0
269,-149.0
270,-149.0
271,-153.0
272,-118.0
273,-151.0
274,-150.0
275,-117.0
276,-174.0
277,-135.0
278,-148.0
279,-147.0
280,-115.0
281,-200.0
282,-147.0
283,-146.0
284,-151.0
285,-148.0
286,-154.0
287,-174.0
288,-139.0
289,-149.0
290,-149.0
291,-144.0
292,-142.0
293,-140.0
294,-145.0
295,-146.0
296,-121.0
297,-116.0
298,-194.0
299,-122.0
300,-147.0
301,-145.0
302,-144.0
303,-147.0
304,-172.0
305,-144.0
306,-147.0
307,-147.0
308,-145.0
309,-146.0
310,-171.0
311,-147.0
312,-148.0
313,-151.0
314,-140.0
315,-142.0
316,-151.0
317,-143.0
318,-160.0
319,-118.0
320,-141.0
321,-145.0
322,-148.0
323,-145.0
324,-145.0
325,-133.0
326,-148.0
327,-142.0
328,-148.0
329,-153.0
330,-140.0
331,-146.0
332,-117.0
333,-151.0
334,-149.0
335,-111.0
336,-140.0
337,-141.0
338,-143.0
339,-146.0
340,-147.0
341,-147.0
342,-147.0
343,-114.0
344,-116.0
345,-148.0
346,-143.0
347,-144.0
348,-143.0
349,-145.0
350,-142.0
351,-146.0
352,-149.0
353,-142.0
354,-148.0
355,-143.0
356,-144.0
357,-146.0
358,-138.0
359,-144.0
360,-144.0
361,-169.0
362,-146.0
363,-114.0
364,-147.0
365,-112.0
366,-141.0
367,-183.0
368,-148.0
369,-140.0
370,-145.0
371,-145.0
372,-146.0
373,-144.0
374,-149.0
375,-146.0
376,-137.0
377,-146.0
378,-139.0
379,-150.0
380,-144.0
