Episode,Reward
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-200.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-200.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-192.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-195.0
140,-200.0
141,-200.0
142,-200.0
143,-167.0
144,-200.0
145,-192.0
146,-200.0
147,-200.0
148,-200.0
149,-200.0
150,-200.0
151,-200.0
152,-200.0
153,-200.0
154,-200.0
155,-196.0
156,-200.0
157,-200.0
158,-200.0
159,-200.0
160,-200.0
161,-200.0
162,-200.0
163,-200.0
164,-200.0
165,-200.0
166,-200.0
167,-200.0
168,-200.0
169,-200.0
170,-200.0
171,-199.0
172,-165.0
173,-200.0
174,-199.0
175,-200.0
176,-200.0
177,-200.0
178,-200.0
179,-200.0
180,-200.0
181,-200.0
182,-200.0
183,-167.0
184,-200.0
185,-200.0
186,-200.0
187,-200.0
188,-200.0
189,-200.0
190,-200.0
191,-200.0
192,-200.0
193,-194.0
194,-200.0
195,-199.0
196,-199.0
197,-200.0
198,-159.0
199,-181.0
200,-200.0
201,-200.0
202,-189.0
203,-177.0
204,-200.0
205,-184.0
206,-200.0
207,-137.0
208,-200.0
209,-200.0
210,-195.0
211,-200.0
212,-200.0
213,-195.0
214,-200.0
215,-196.0
216,-161.0
217,-184.0
218,-198.0
219,-184.0
220,-161.0
221,-200.0
222,-162.0
223,-170.0
224,-200.0
225,-160.0
226,-162.0
227,-161.0
228,-169.0
229,-153.0
230,-200.0
231,-200.0
232,-164.0
233,-162.0
234,-159.0
235,-127.0
236,-200.0
237,-200.0
238,-165.0
239,-161.0
240,-181.0
241,-136.0
242,-200.0
243,-200.0
244,-200.0
245,-151.0
246,-200.0
247,-199.0
248,-136.0
249,-198.0
250,-136.0
251,-175.0
252,-195.0
253,-144.0
254,-200.0
255,-167.0
256,-194.0
257,-165.0
258,-147.0
259,-200.0
260,-154.0
261,-137.0
262,-177.0
263,-176.0
264,-195.0
265,-133.0
266,-160.0
267,-162.0
268,-177.0
269,-156.0
270,-136.0
271,-143.0
272,-169.0
273,-181.0
274,-160.0
275,-126.0
276,-131.0
277,-157.0
278,-187.0
279,-156.0
280,-197.0
281,-124.0
282,-200.0
283,-171.0
284,-200.0
285,-189.0
286,-153.0
287,-130.0
288,-156.0
289,-187.0
290,-127.0
291,-177.0
292,-200.0
293,-120.0
294,-122.0
295,-118.0
296,-130.0
297,-176.0
298,-186.0
299,-183.0
300,-180.0
301,-129.0
302,-149.0
303,-112.0
304,-152.0
305,-157.0
306,-196.0
307,-125.0
308,-149.0
309,-142.0
310,-147.0
311,-167.0
312,-154.0
313,-119.0
314,-158.0
315,-156.0
316,-155.0
317,-182.0
318,-142.0
319,-161.0
320,-200.0
321,-200.0
322,-157.0
323,-159.0
324,-181.0
325,-158.0
326,-155.0
327,-167.0
328,-154.0
329,-170.0
330,-147.0
331,-159.0
332,-148.0
333,-156.0
334,-153.0
335,-158.0
336,-140.0
337,-154.0
338,-156.0
339,-200.0
340,-155.0
341,-160.0
342,-149.0
343,-152.0
344,-186.0
345,-153.0
346,-144.0
347,-142.0
348,-151.0
349,-200.0
350,-163.0
351,-163.0
352,-155.0
353,-160.0
354,-200.0
355,-200.0
356,-200.0
357,-171.0
358,-145.0
359,-154.0
360,-146.0
361,-200.0
362,-149.0
363,-154.0
364,-154.0
365,-200.0
366,-200.0
367,-200.0
368,-137.0
369,-200.0
370,-148.0
371,-150.0
372,-146.0
373,-200.0
374,-151.0
375,-152.0
376,-159.0
377,-150.0
378,-150.0
379,-150.0
380,-200.0
