Episode,Reward
0,-200.0
1,-200.0
2,-200.0
3,-200.0
4,-200.0
5,-200.0
6,-200.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-200.0
17,-200.0
18,-200.0
19,-200.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-200.0
66,-200.0
67,-200.0
68,-200.0
69,-200.0
70,-200.0
71,-200.0
72,-200.0
73,-200.0
74,-200.0
75,-200.0
76,-200.0
77,-200.0
78,-200.0
79,-200.0
80,-200.0
81,-200.0
82,-200.0
83,-200.0
84,-200.0
85,-200.0
86,-200.0
87,-200.0
88,-200.0
89,-200.0
90,-200.0
91,-200.0
92,-200.0
93,-200.0
94,-200.0
95,-200.0
96,-200.0
97,-200.0
98,-200.0
99,-200.0
100,-200.0
101,-200.0
102,-200.0
103,-200.0
104,-200.0
105,-200.0
106,-200.0
107,-200.0
108,-200.0
109,-200.0
110,-200.0
111,-200.0
112,-200.0
113,-200.0
114,-200.0
115,-200.0
116,-200.0
117,-200.0
118,-200.0
119,-200.0
120,-200.0
121,-200.0
122,-200.0
123,-200.0
124,-200.0
125,-200.0
126,-200.0
127,-200.0
128,-200.0
129,-200.0
130,-200.0
131,-200.0
132,-200.0
133,-200.0
134,-200.0
135,-200.0
136,-200.0
137,-200.0
138,-200.0
139,-198.0
140,-200.0
141,-200.0
142,-200.0
143,-200.0
144,-200.0
145,-200.0
146,-200.0
147,-200.0
148,-200.0
149,-200.0
150,-200.0
151,-200.0
152,-200.0
153,-200.0
154,-200.0
155,-200.0
156,-200.0
157,-200.0
158,-200.0
159,-200.0
160,-200.0
161,-200.0
162,-200.0
163,-200.0
164,-200.0
165,-200.0
166,-200.0
167,-200.0
168,-200.0
169,-200.0
170,-200.0
171,-166.0
172,-200.0
173,-200.0
174,-200.0
175,-200.0
176,-200.0
177,-200.0
178,-200.0
179,-200.0
180,-200.0
181,-200.0
182,-200.0
183,-200.0
184,-200.0
185,-200.0
186,-200.0
187,-200.0
188,-165.0
189,-200.0
190,-200.0
191,-191.0
192,-200.0
193,-200.0
194,-200.0
195,-200.0
196,-164.0
197,-200.0
198,-200.0
199,-200.0
200,-196.0
201,-186.0
202,-200.0
203,-164.0
204,-200.0
205,-200.0
206,-200.0
207,-200.0
208,-200.0
209,-200.0
210,-200.0
211,-188.0
212,-200.0
213,-189.0
214,-200.0
215,-187.0
216,-200.0
217,-200.0
218,-155.0
219,-200.0
220,-200.0
221,-162.0
222,-155.0
223,-200.0
224,-200.0
225,-186.0
226,-176.0
227,-164.0
228,-200.0
229,-193.0
230,-183.0
231,-185.0
232,-162.0
233,-170.0
234,-200.0
235,-200.0
236,-173.0
237,-160.0
238,-200.0
239,-165.0
240,-168.0
241,-187.0
242,-145.0
243,-154.0
244,-200.0
245,-200.0
246,-195.0
247,-185.0
248,-149.0
249,-151.0
250,-134.0
251,-192.0
252,-158.0
253,-158.0
254,-146.0
255,-134.0
256,-154.0
257,-158.0
258,-200.0
259,-149.0
260,-173.0
261,-186.0
262,-200.0
263,-154.0
264,-180.0
265,-150.0
266,-200.0
267,-163.0
268,-147.0
269,-150.0
270,-169.0
271,-200.0
272,-200.0
273,-155.0
274,-157.0
275,-145.0
276,-152.0
277,-161.0
278,-167.0
279,-152.0
280,-150.0
281,-160.0
282,-123.0
283,-147.0
284,-175.0
285,-150.0
286,-133.0
287,-157.0
288,-153.0
289,-145.0
290,-124.0
291,-123.0
292,-131.0
293,-140.0
294,-165.0
295,-146.0
296,-178.0
297,-193.0
298,-147.0
299,-200.0
300,-168.0
301,-155.0
302,-123.0
303,-147.0
304,-131.0
305,-152.0
306,-120.0
307,-159.0
308,-162.0
309,-133.0
310,-139.0
311,-162.0
312,-153.0
313,-146.0
314,-148.0
315,-150.0
316,-148.0
317,-100.0
318,-153.0
319,-144.0
320,-134.0
321,-198.0
322,-138.0
323,-181.0
324,-144.0
325,-137.0
326,-145.0
327,-191.0
328,-169.0
329,-158.0
330,-126.0
331,-110.0
332,-152.0
333,-145.0
334,-121.0
335,-146.0
336,-185.0
337,-154.0
338,-147.0
339,-146.0
340,-145.0
341,-165.0
342,-200.0
343,-175.0
344,-110.0
345,-178.0
346,-200.0
347,-161.0
348,-145.0
349,-124.0
350,-200.0
351,-170.0
352,-187.0
353,-160.0
354,-144.0
355,-125.0
356,-192.0
357,-198.0
358,-174.0
359,-176.0
360,-120.0
361,-180.0
362,-145.0
363,-179.0
364,-139.0
365,-167.0
366,-152.0
367,-119.0
368,-149.0
369,-200.0
370,-147.0
371,-173.0
372,-196.0
373,-123.0
374,-149.0
375,-166.0
376,-155.0
377,-154.0
378,-183.0
379,-200.0
380,-187.0
